表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2020100000,2020年度,3206,岩手県 北上市,,129215620,,44272,
2020100000,2020年度,3207,岩手県 久慈市,,39088644,,14439,
2020100000,2020年度,3208,岩手県 遠野市,,25697553,,10575,
2020100000,2020年度,3209,岩手県 一関市,,124838351,,48504,
2020100000,2020年度,3210,岩手県 陸前高田市,,19437219,,7687,
2020100000,2020年度,3211,岩手県 釜石市,,37689139,,13965,
2020100000,2020年度,3213,岩手県 二戸市,,28114305,,11350,
2020100000,2020年度,3214,岩手県 八幡平市,,25124800,,10240,
2020100000,2020年度,3215,岩手県 奥州市,,136558851,,51370,
2020100000,2020年度,3216,岩手県 滝沢市,,71455238,,26271,
2020100000,2020年度,3301,岩手県 雫石町,,16774669,,6848,
2020100000,2020年度,3302,岩手県 葛巻町,,5061973,,2167,
2020100000,2020年度,3303,岩手県 岩手町,,12664777,,5177,
2020100000,2020年度,3321,岩手県 紫波町,,37866971,,14628,
2020100000,2020年度,3322,岩手県 矢巾町,,36293919,,12959,
2020100000,2020年度,3366,岩手県 西和賀町,,5099000,,2036,
2020100000,2020年度,3381,岩手県 金ケ崎町,,18616978,,6975,
2020100000,2020年度,3402,岩手県 平泉町,,7243874,,2962,
2020100000,2020年度,3441,岩手県 住田町,,4959731,,2074,
2020100000,2020年度,3461,岩手県 大槌町,,11882090,,4653,
2020100000,2020年度,3482,岩手県 山田町,,14656976,,5826,
2020100000,2020年度,3483,岩手県 岩泉町,,7663430,,3222,
2020100000,2020年度,3484,岩手県 田野畑村,,3083954,,1309,
2020100000,2020年度,3485,岩手県 普代村,,2157702,,940,
2020100000,2020年度,3501,岩手県 軽米町,,8189461,,3440,
2020100000,2020年度,3503,岩手県 野田村,,4172355,,1602,
2020100000,2020年度,3506,岩手県 九戸村,,4678501,,2069,
2020100000,2020年度,3507,岩手県 洋野町,,15343054,,6209,
2020100000,2020年度,3524,岩手県 一戸町,,10718819,,4545,
2020100000,2020年度,4100,宮城県 仙台市,,1801452263,,519264,
2020100000,2020年度,4101,宮城県 仙台市 青葉区,,-,,-,
2020100000,2020年度,4102,宮城県 仙台市 宮城野区,,-,,-,
2020100000,2020年度,4103,宮城県 仙台市 若林区,,-,,-,
2020100000,2020年度,4104,宮城県 仙台市 太白区,,-,,-,
2020100000,2020年度,4105,宮城県 仙台市 泉区,,-,,-,
2020100000,2020年度,4202,宮城県 石巻市,,173890680,,61164,
2020100000,2020年度,4203,宮城県 塩竈市,,64813872,,23917,
2020100000,2020年度,4205,宮城県 気仙沼市,,70990389,,26579,
2020100000,2020年度,4206,宮城県 白石市,,37429451,,14545,
2020100000,2020年度,4207,宮城県 名取市,,118769225,,37221,
2020100000,2020年度,4208,宮城県 角田市,,31552626,,12022,
2020100000,2020年度,4209,宮城県 多賀城市,,88424909,,29573,
2020100000,2020年度,4211,宮城県 岩沼市,,60167918,,20388,
2020100000,2020年度,4212,宮城県 登米市,,82862692,,32208,
2020100000,2020年度,4213,宮城県 栗原市,,67969633,,26589,
2020100000,2020年度,4214,宮城県 東松島市,,47504972,,17340,
2020100000,2020年度,4215,宮城県 大崎市,,156951253,,57327,
2020100000,2020年度,4216,宮城県 富谷市,,81532172,,23784,
2020100000,2020年度,4301,宮城県 蔵王町,,12434304,,4893,
2020100000,2020年度,4302,宮城県 七ヶ宿町,,1170169,,494,
2020100000,2020年度,4321,宮城県 大河原町,,30940557,,11112,
2020100000,2020年度,4322,宮城県 村田町,,11159231,,4377,
2020100000,2020年度,4323,宮城県 柴田町,,45527546,,16952,
2020100000,2020年度,4324,宮城県 川崎町,,8531581,,3573,
2020100000,2020年度,4341,宮城県 丸森町,,11864840,,4856,
2020100000,2020年度,4361,宮城県 亘理町,,40585614,,15238,
2020100000,2020年度,4362,宮城県 山元町,,12824530,,5112,
2020100000,2020年度,4401,宮城県 松島町,,15353003,,5832,
2020100000,2020年度,4404,宮城県 七ヶ浜町,,23665183,,8449,
2020100000,2020年度,4406,宮城県 利府町,,53521329,,16981,
2020100000,2020年度,4421,宮城県 大和町,,38491316,,13406,
2020100000,2020年度,4422,宮城県 大郷町,,7702751,,3086,
2020100000,2020年度,4424,宮城県 大衡村,,6606997,,2502,
2020100000,2020年度,4444,宮城県 色麻町,,7073465,,2855,
